list_time,area,area_name,price,price_string,rooms,property_legal_document,property_road_condition,property_back_condition,size,ward,ward_name,toilets,floors,house_type,furnishing_sell,longitude,latitude,street_id,width,projectid,price_m2
25 October 2021,80,Quận Hoàng Mai,2700000000,"2,7 tỷ",7.0,1.0,1.0,1.0,35.0,51,Phường Lĩnh Nam,4.0,5.0,3.0,2.0,105.87627,20.9833,985.0,3.5,0.0,77142857.14285715
25 October 2021,77,Quận Thanh Xuân,3900000000,"3,9 tỷ",4.0,1.0,1.0,1.0,34.0,70,Phường Khương Đình,3.0,5.0,3.0,1.0,105.82465,20.98845,637.0,4.0,1.0,114705882.35294117
25 October 2021,80,Quận Hoàng Mai,4500000000,"4,5 tỷ",3.0,1.0,0.0,0.0,30.0,54,Phường Tương Mai,4.0,5.266666666666667,3.0,4.0,105.84494,20.99069,36079.0,5.0,0.0,150000000.0
25 October 2021,89,Huyện Hoài Đức,1860000000,"1,86 tỷ",2.0,1.0,0.0,0.0,60.0,1,Xã La Phù,1.0,4.467237714043407,3.0,4.0,105.73,20.98254,0.0,6.0,0.0,31000000.0
25 October 2021,81,Quận Long Biên,3500000000,"3,5 tỷ",5.0,1.0,1.0,0.0,50.0,111,Phường Việt Hưng,4.0,5.0,3.0,2.0,105.89961,21.05268,0.0,5.0,0.0,70000000.0
25 October 2021,81,Quận Long Biên,2850000000,"2,85 tỷ",3.0,0.0,0.0,0.0,35.0,111,Phường Việt Hưng,3.0,4.467237714043407,1.0,4.0,105.89775,21.06633,0.0,5.0,0.0,81428571.42857143
25 October 2021,86,Quận Hà Đông,2700000000,"2,7 tỷ",3.0,0.0,0.0,0.0,36.0,23,Phường Văn Quán,3.762751202943674,4.467237714043407,3.0,4.0,105.79477,20.97886,1753.0,4.591384987893445,0.0,75000000.0
25 October 2021,76,Quận Hai Bà Trưng,2680000000,"2,68 tỷ",3.0,0.0,0.0,0.0,35.0,85,Phường Thanh Nhàn,4.0,4.467237714043407,3.0,4.0,105.86375,21.00371,535.0,4.591384987893445,0.0,76571428.57142857
25 October 2021,86,Quận Hà Đông,1530000000,"1,53 tỷ",3.0,1.0,1.0,0.0,35.0,26,Phường Biên Giang,2.0,3.0,3.0,3.0,105.77916,20.97382,1723.0,4.0,0.0,43714285.71428572
31 October 2021,86,Quận Hà Đông,2850000000,"2,85 tỷ",4.0,1.0,1.0,1.0,42.0,31,Phường Kiến Hưng,4.0,4.0,3.0,4.0,105.7824,20.96005,1794.0,4.591384987893445,0.0,67857142.85714285
25 October 2021,76,Quận Hai Bà Trưng,12900000000,"12,9 tỷ",11.0,1.0,0.0,0.0,85.0,88,Phường Thanh Lương,7.0,7.0,3.0,1.0,105.86375,21.00371,535.0,5.5,0.0,151764705.88235295
25 October 2021,121,Quận Nam Từ Liêm,3700000000,"3,7 tỷ",3.0,1.0,0.0,0.0,35.0,65,Phường Mễ Trì,2.0,4.467237714043407,1.0,4.0,105.81381125871053,21.010090290259843,2290.0,4.591384987893445,0.0,105714285.71428572
25 October 2021,80,Quận Hoàng Mai,4600000000,"4,6 tỷ",4.0,1.0,1.0,0.0,42.0,51,Phường Lĩnh Nam,4.0,5.0,3.0,1.0,105.87295,21.03551,990.0,3.0,0.0,109523809.52380952
25 October 2021,79,Quận Cầu Giấy,4400000000,"4,4 tỷ",4.0,1.0,1.0,1.0,45.0,151,Phường Dịch Vọng,4.0,4.467237714043407,3.0,4.0,105.79589,21.0344,797.0,5.0,0.0,97777777.77777778
25 October 2021,76,Quận Hai Bà Trưng,3500000000,"3,5 tỷ",4.0,1.0,0.0,1.0,45.0,81,Phường Minh Khai,4.0,4.0,3.0,2.0,105.86375,21.00371,535.0,4.0,0.0,77777777.77777778
25 October 2021,86,Quận Hà Đông,5500000000,"5,5 tỷ",4.0,1.0,1.0,0.0,40.0,23,Phường Văn Quán,3.762751202943674,4.467237714043407,1.0,2.0,105.79477,20.97886,1753.0,4.0,0.0,137500000.0
25 October 2021,81,Quận Long Biên,2800000000,"2,8 tỷ",4.0,1.0,0.0,0.0,44.0,101,Phường Phúc Lợi,3.0,4.0,3.0,2.0,105.92365,21.04662,1415.0,4.0,0.0,63636363.63636363
25 October 2021,75,Quận Đống Đa,5300000000,"5,3 tỷ",4.0,1.0,0.0,0.0,45.0,133,Phường Thịnh Quang,4.0,4.0,3.0,2.0,105.82579732152456,21.014998482613166,442.0,3.6,0.0,117777777.77777778
25 October 2021,76,Quận Hai Bà Trưng,3700000000,"3,7 tỷ",4.0,1.0,1.0,0.0,40.0,81,Phường Minh Khai,4.0,4.0,3.0,2.0,105.86375,21.00371,535.0,3.5,0.0,92500000.0
25 October 2021,75,Quận Đống Đa,15000000000,15 tỷ,2.0,1.0,0.0,0.0,55.0,137,Phường Nam Đồng,2.0,3.0,1.0,4.0,105.83042,21.0165,402.0,4.0,0.0,272727272.72727275
25 October 2021,81,Quận Long Biên,3100000000,"3,1 tỷ",3.0,1.0,1.0,0.0,34.0,111,Phường Việt Hưng,5.0,5.0,3.0,2.0,105.87563,21.030195656265562,1462.0,4.0,0.0,91176470.58823529
22 November 2021,86,Quận Hà Đông,1500000000,"1,5 tỷ",4.0,1.0,1.0,1.0,31.0,26,Phường Biên Giang,3.0,4.0,1.0,3.0,105.71033,20.92611,1740.0,4.0,0.0,48387096.77419355
25 October 2021,86,Quận Hà Đông,5600000000,"5,6 tỷ",3.0,1.0,1.0,0.0,39.0,23,Phường Văn Quán,3.0,5.0,3.0,2.0,105.79477,20.97886,1753.0,4.591384987893445,0.0,143589743.58974358
25 October 2021,86,Quận Hà Đông,5600000000,"5,6 tỷ",4.0,1.0,0.0,1.0,45.0,23,Phường Văn Quán,4.0,4.467237714043407,1.0,4.0,105.78799,20.97035,1928.0,4.0,2225.0,124444444.44444445
25 October 2021,80,Quận Hoàng Mai,6200000000,"6,2 tỷ",5.0,1.0,1.0,1.0,30.0,48,Phường Mai Động,5.0,6.0,3.0,2.0,105.857,20.98837,973.0,5.0,0.0,206666666.66666666
25 October 2021,79,Quận Cầu Giấy,26500000000,"26,5 tỷ",4.0,1.0,0.0,0.0,83.0,148,Phường Trung Hoà,4.0,4.467237714043407,3.0,4.0,105.85254,21.03347,0.0,5.0,0.0,319277108.43373495
25 October 2021,80,Quận Hoàng Mai,1650000000,"1,65 tỷ",2.0,1.0,0.0,1.0,26.0,51,Phường Lĩnh Nam,1.0,2.0,3.0,4.0,105.87295,21.03551,990.0,3.0,0.0,63461538.461538464
25 October 2021,77,Quận Thanh Xuân,4780000000,"4,78 tỷ",4.0,0.0,0.0,0.0,45.0,70,Phường Khương Đình,3.0,4.467237714043407,3.0,4.0,105.78582,20.96151,657.0,4.0,0.0,106222222.22222222
25 October 2021,86,Quận Hà Đông,12000000000,12 tỷ,5.0,1.0,0.0,1.0,62.0,30,Phường Mộ Lao,5.0,5.403225806451613,4.0,1.0,105.787,20.98466,0.0,5.0,0.0,193548387.0967742
25 October 2021,74,Quận Ba Đình,7300000000,"7,3 tỷ",4.0,1.0,1.0,0.0,86.0,113,Phường Liễu Giai,4.0,4.0,3.0,2.0,105.81869,21.00324,305.0,4.0,0.0,84883720.93023255
25 October 2021,86,Quận Hà Đông,3900000000,"3,9 tỷ",4.0,1.0,0.0,1.0,34.0,28,Phường Quang Trung,4.0,4.467237714043407,1.0,2.0,105.77297,20.9645,0.0,4.0,0.0,114705882.35294117
25 October 2021,121,Quận Nam Từ Liêm,2700000000,"2,7 tỷ",4.0,1.0,0.0,0.0,40.0,66,Phường Trung Văn,3.0,4.467237714043407,3.0,4.0,105.7814,21.00292,2239.0,4.0,0.0,67500000.0
25 October 2021,80,Quận Hoàng Mai,3500000000,"3,5 tỷ",4.0,0.0,0.0,0.0,38.0,56,Phường Hoàng Liệt,3.762751202943674,4.467237714043407,3.0,4.0,105.82531,20.96643,983.0,4.591384987893445,0.0,92105263.15789473
25 October 2021,121,Quận Nam Từ Liêm,3600000000,"3,6 tỷ",4.0,0.0,0.0,0.0,40.0,61,Phường Mỹ Đình 1,3.0,4.467237714043407,3.0,4.0,105.81381125871053,21.010090290259843,2302.0,4.591384987893445,0.0,90000000.0
26 October 2021,79,Quận Cầu Giấy,15000000000,15 tỷ,6.0,1.0,0.0,1.0,75.0,147,Phường Mai Dịch,7.0,4.467237714043407,1.0,4.0,105.79604583611187,21.04733,0.0,5.0,0.0,200000000.0
26 October 2021,77,Quận Thanh Xuân,5400000000,"5,4 tỷ",1.0,0.0,0.0,0.0,50.0,75,Phường Khương Mai,3.762751202943674,4.467237714043407,3.0,4.0,105.7472,20.97715,663.0,4.591384987893445,0.0,108000000.0
26 October 2021,121,Quận Nam Từ Liêm,2450000000,"2,45 tỷ",4.0,1.0,0.0,1.0,35.0,62,Phường Tây Mỗ,3.762751202943674,4.0,3.0,3.0,105.78051,21.12864,2224.0,4.0,0.0,70000000.0
26 October 2021,77,Quận Thanh Xuân,4400000000,"4,4 tỷ",4.0,1.0,1.0,1.0,44.0,75,Phường Khương Mai,3.0,4.0,3.0,2.0,105.7472,20.97715,663.0,4.0,0.0,100000000.0
26 October 2021,129,Quận Bắc Từ Liêm,2850000000,"2,85 tỷ",3.0,1.0,0.0,1.0,30.0,43,Phường Cổ Nhuế 2,4.0,5.0,3.0,3.0,105.77942,21.06536,2611.0,6.0,0.0,95000000.0
26 October 2021,77,Quận Thanh Xuân,5300000000,"5,3 tỷ",4.0,1.0,0.0,0.0,34.0,72,Phường Nhân Chính,4.0,4.467237714043407,3.0,4.0,105.80813,20.99963,702.0,4.591384987893445,0.0,155882352.94117647
16 November 2021,79,Quận Cầu Giấy,7700000000,"7,7 tỷ",5.0,1.0,1.0,1.0,46.0,151,Phường Dịch Vọng,4.0,5.0,1.0,2.0,105.85734,21.03014,878.0,4.0,0.0,167391304.3478261
18 November 2021,79,Quận Cầu Giấy,5100000000,"5,1 tỷ",6.0,1.0,0.0,1.0,45.0,145,Phường Nghĩa Đô,5.0,5.0,3.0,2.0,105.78801,21.04627,826.0,4.0,0.0,113333333.33333333
26 October 2021,75,Quận Đống Đa,18800000000,"18,8 tỷ",11.0,1.0,0.0,0.0,70.0,128,Phường Láng Hạ,3.762751202943674,4.467237714043407,4.0,1.0,105.81285,21.02453,382.0,6.0,0.0,268571428.5714286
26 October 2021,79,Quận Cầu Giấy,15500000000,"15,5 tỷ",7.0,1.0,0.0,1.0,77.0,147,Phường Mai Dịch,7.0,4.467237714043407,1.0,4.0,105.77684,21.04504,0.0,5.0,0.0,201298701.2987013
15 November 2021,75,Quận Đống Đa,3200000000,"3,2 tỷ",4.0,1.0,0.0,0.0,40.0,141,Phường Thổ Quan,3.762751202943674,4.467237714043407,3.0,4.0,105.83733,21.0191,377.0,4.591384987893445,0.0,80000000.0
15 November 2021,75,Quận Đống Đa,3500000000,"3,5 tỷ",6.0,0.0,0.0,0.0,42.0,141,Phường Thổ Quan,6.0,4.467237714043407,3.0,4.0,105.83576,21.01919,0.0,4.591384987893445,0.0,83333333.33333333
26 October 2021,129,Quận Bắc Từ Liêm,68000000000,68 tỷ,5.0,1.0,0.0,1.0,400.0,40,Phường Cổ Nhuế 1,4.0,5.0,2.0,1.0,105.78531,21.0705,2648.0,20.0,0.0,170000000.0
07 November 2021,121,Quận Nam Từ Liêm,4400000000,"4,4 tỷ",4.0,1.0,0.0,1.0,54.0,60,Phường Mỹ Đình 2,3.0,4.0,3.0,2.0,105.77047308811039,21.023197563237673,2324.0,3.8,0.0,81481481.48148148
26 October 2021,75,Quận Đống Đa,3000000000,3 tỷ,3.0,1.0,1.0,1.0,28.0,130,Phường Trung Liệt,4.0,5.0,3.0,1.0,105.81981,21.01311,431.0,3.0,0.0,107142857.14285715
26 October 2021,75,Quận Đống Đa,3100000000,"3,1 tỷ",3.0,1.0,1.0,1.0,29.0,126,Phường Ngã Tư Sở,4.0,5.0,3.0,1.0,105.83143,21.00007,463.0,3.0,0.0,106896551.72413793
26 October 2021,81,Quận Long Biên,27980000000,"27,98 tỷ",4.0,1.0,1.0,1.0,170.0,107,Phường Gia Thụy,5.0,3.0,1.0,2.0,105.81381125871053,21.010090290259843,1289.0,5.0,0.0,164588235.29411766
26 October 2021,78,Quận Tây Hồ,5500000000,"5,5 tỷ",4.0,1.0,0.0,0.0,44.0,158,Phường Xuân La,5.0,4.467237714043407,3.0,4.0,105.80618,21.06439,775.0,4.591384987893445,0.0,125000000.0
26 October 2021,86,Quận Hà Đông,11300000000,"11,3 tỷ",6.0,0.0,0.0,0.0,135.0,31,Phường Kiến Hưng,6.0,4.467237714043407,2.0,4.0,105.84153,21.02476,1806.0,4.591384987893445,0.0,83703703.7037037
15 November 2021,74,Quận Ba Đình,6990000000,"6,99 tỷ",5.0,1.0,0.0,0.0,60.0,114,Phường Đội Cấn,3.0,5.0,3.0,4.0,105.83082,21.02041,240.0,5.0,0.0,116500000.0
26 October 2021,75,Quận Đống Đa,18000000000,18 tỷ,1.0,1.0,0.0,0.0,70.0,128,Phường Láng Hạ,7.0,8.0,1.0,1.0,105.82579732152456,20.97264,375.0,5.0,0.0,257142857.14285713
26 October 2021,77,Quận Thanh Xuân,3250000000,"3,25 tỷ",4.0,1.0,0.0,0.0,30.0,74,Phường Thanh Xuân Bắc,4.0,5.0,3.0,2.0,105.81377,20.986773107769288,641.0,4.0,0.0,108333333.33333333
30 October 2021,129,Quận Bắc Từ Liêm,3650000000,"3,65 tỷ",4.0,1.0,0.0,1.0,40.0,38,Phường Xuân Đỉnh,3.0,4.0,3.0,2.0,105.7944,21.07138,2691.0,4.0,0.0,91250000.0
26 October 2021,75,Quận Đống Đa,1500000000,"1,5 tỷ",2.0,1.0,0.0,0.0,13.0,141,Phường Thổ Quan,2.0,4.0,3.0,2.0,105.83587,21.01788,0.0,3.0,0.0,115384615.38461539
26 October 2021,84,Huyện Thanh Trì,1350000000,"1,35 tỷ",3.0,0.0,0.0,0.0,30.0,7,Xã Ngọc Hồi,2.0,4.467237714043407,3.0,4.0,105.84396,20.9411,1662.0,3.0,0.0,45000000.0
